title,year,production_company,category,type,phase
Geek Charming,2011,Disney Channel,Movie,Live Action,
Lemonade Mouth,2011,Disney Channel,Movie,Live Action,
Radio Rebel,2012,Disney Channel,Movie,Live Action,
Girl vs. Monster,2012,Disney Channel,Movie,Live Action,
Frenemies,2012,Disney Channel,Movie,Live Action,
Let It Shine,2012,Disney Channel,Movie,Live Action,
Teen Beach Movie,2013,Disney Channel,Movie,Live Action,
Zapped,2014,Disney Channel,Movie,Live Action,
Cloud 9,2014,Disney Channel,Movie,Live Action,
How To Build A Better Boy,2014,Disney Channel,Movie,Live Action,
Teen Beach Movie 2,2015,Disney Channel,Movie,Live Action,
Descendants,2015,Disney Channel,Movie,Live Action,
Bad Hair Day,2015,Disney Channel,Movie,Live Action,
The Swap,2016,Disney Channel,Movie,Live Action,
Adventures in Babysitting,2016,Disney Channel,Movie,Live Action,
Tangled: Before Ever After,2017,Disney Channel,Movie,Live Action,
Descendants 2,2017,Disney Channel,Movie,Live Action,
Freaky Friday,2018,Disney Channel,Movie,Live Action,
Zombies,2018,Disney Channel,Movie,Live Action,
Descendants 3,2019,Disney Channel,Movie,Live Action,
Star Wars Episode IV: A New Hope,1977,Lucasfilm,Movie,Live Action,
Star Wars Episode V: The Empire Strikes Back,1980,Lucasfilm,Movie,Live Action,
Star Wars Episode VI: Return of the Jedi,1983,Lucasfilm,Movie,Live Action,
Star Wars Episode I: The Phantom Menace,1999,Lucasfilm,Movie,Live Action,
Star Wars Episode II: Attack of the Clones,2002,Lucasfilm,Movie,Live Action,
Star Wars Episode III: Revenge of the Sith,2005,Lucasfilm,Movie,Live Action,
Star Wars Episode VII: The Force Awakens,2016,Lucasfilm,Movie,Live Action,
Star Wars Episode VIII: The Last Jedi,2017,Lucasfilm,Movie,Live Action,
Star Wars Episode IX: The Rise of Skywalker,2019,Lucasfilm,Movie,Live Action,
Solo: A Star Wars Story,2018,Lucasfilm,Movie,Live Action,
Rogue One: A Star Wars Story,2016,Lucasfilm,Movie,Live Action,
Frozen II,2019,Disney,Movie,Animated,
Raya and the Last Dragon,2021,Disney,Movie,Animated,
Encanto,2021,Disney,Movie,Animated,
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Disney,Movie,Live Action,
Pirates of the Caribbean: Dead Man's Chest,2006,Disney,Movie,Live Action,
Pirates of the Caribbean: At World's End,2007,Disney,Movie,Live Action,
Pirates of the Caribbean: On Stranger Tides,2011,Disney,Movie,Live Action,
Pirates of the Caribbean: Dead Men Tell No Tales,2017,Disney,Movie,Live Action,
Mulan (Live Action),2020,Disney,Movie,Live Action,
Hamilton,2020,Disney,Movie,Live Action,
Cruella,2021,Disney,Movie,Live Action,
Jungle Cruise,2021,Disney,Movie,Live Action,
Beauty and the Beast (Live Action),2017,Disney,Movie,Live Action,
Zombies 2,2020,Disney Channel,Movie,Live Action,
Spin,2021,Disney Channel,Movie,Live Action,
Iron Man,2008,Marvel,Movie,Live Action,1
The Incredible Hulk,2008,Marvel,Movie,Live Action,1
Iron Man 2,2010,Marvel,Movie,Live Action,1
Captain America: The First Avenger,2011,Marvel,Movie,Live Action,1
Marve's The Avengers,2012,Marvel,Movie,Live Action,1
Iron Man 3,2013,Marvel,Movie,Live Action,2
Thor: The Dark World,2013,Marvel,Movie,Live Action,2
Captain America: The Winter Soldier,2014,Marvel,Movie,Live Action,2
Guardians of the Galaxy,2014,Marvel,Movie,Live Action,2
Avengers: Age of Ultron,2015,Marvel,Movie,Live Action,2
Ant-Man,2015,Marvel,Movie,Live Action,2
Captain America: Civil War,2016,Marvel,Movie,Live Action,3
Doctor Strange,2016,Marvel,Movie,Live Action,3
Guardians of the Galaxy Vol. 2,2017,Marvel,Movie,Live Action,3
Spider-Man: Homecoming,2017,Marvel,Movie,Live Action,3
Thor: Ragnorok,2017,Marvel,Movie,Live Action,3
Black Panther,2018,Marvel,Movie,Live Action,3
Avengers: Infinity War,2018,Marvel,Movie,Live Action,3
Ant-Man and the Wasp,2018,Marvel,Movie,Live Action,3
Captain Marvel,2019,Marvel,Movie,Live Action,3
Avengers: Endgame,2019,Marvel,Movie,Live Action,3
Spider-Man: Far From Home,2019,Marvel,Movie,Live Action,3
Black Widow,2021,Marvel,Movie,Live Action,4
Shang-Chi and the Legend of the Ten Rings,2021,Marvel,Movie,Live Action,4
Eternals,2021,Marvel,Movie,Live Action,4
Spider-Man No Way Home,2021,Marvel,Movie,Live Action,4
